,top-f1,top-std,last-f1,last-std
,0.8252412566432247,0.021722329593315624,0.8154679470592076,0.027847316779585678
flip,0.8471002104105773,0.012779384154100138,0.844575305779775,0.013203942167641468
rotate,0.8536285978776438,0.012221484088476559,0.8536285978776438,0.012221484088476559
brightness,0.8367024064064026,0.009277702335208726,0.8243232766787211,0.018704738137359816
shadow,0.8308889578889916,0.013053169136383817,0.8247673975096808,0.022520719326308787
coarse dropout,0.842503598442784,0.009738857201262123,0.8285917010572222,0.012868147438745203
"flip, rotate",0.8542836485085664,0.0073122966918033935,0.833209411965476,0.035933848459747654
"flip, brightness",0.8424193903251931,0.011052835145527462,0.8357954819997152,0.010394756559827304
"flip, shadow",0.8406328514770225,0.020922788798870558,0.8320813797138356,0.024364703497777668
"flip, coarse dropout",0.8434995677736069,0.01592043831939888,0.8310672386928841,0.02359731015407161
"rotate, brightness",0.8545118393721404,0.008545385493815175,0.8487601567197728,0.005041972539532507
"rotate, shadow",0.848451053654706,0.014487247603234164,0.8375963083019963,0.0028166583558761676
"rotate, coarse dropout",0.8520894492114032,0.01100941317851909,0.8520894492114032,0.01100941317851909
"brightness, shadow",0.8356444063010038,0.012515550399830256,0.8187993444778301,0.030736603354773677
"brightness, coarse dropout",0.8328488800260755,0.01386890894938769,0.827543713428356,0.027656404539201773
"shadow, coarse dropout",0.8445401302090398,0.013350013759508065,0.8332646974810848,0.01314033161352023
